1 33
2 18
3 27
4 36
5 25
6 24
7 30
8 23
9 29
10 38
11	23
12	22
13	19
14	21
15	18
16	28
17	12
18	20
19	22
20	22
21	22
22	34
23	32
24	15
25	14
26	16
27	32
28	17
29	22
30	37
31	11
32	22
33	37
34	15
35	29
36	11
37	36
38	24
39	18
40	19
41	23
42	12
43	21
44	7
45	30
46	6
47	26
48	31
49	24
50	31
51	25
52	21
53	25
54	21
55	24
56	30
57	29
58	18
59	19
60	16
61	17
62	20
63	24
64	18
65	19
66	43
67	9
68	37
69	32
70	26
71	25
72	18
73	16
74	14
75	23
76	37
77	31
78	34
79	21
80	22
81	26
82	16
83	24
84	22
85	25
86	32
87	11
88	30
89	30
90	17
91	18
92	36
93	14
94	31
95	24
96	35
97	12
98	19
99	17
100	21
101	28
102	14
103	22
104	39
105	27
106	18
107	33
108	39
109	30
110	32
111	26
112	32
113	19
114	35
115	26
116	20
117	23
118	23
119	23
120	23
121	11
122	20
123	15
124	19
125	33
126	23
127	40
128	25
129	18
130	16
131	20
132	23
133	20
134	31
135	23
136	20
137	38
138	30
139	19
140	15
141	6
142	23
143	23
144	21
145	17
146	27
147	19
148	23
149	44
150	19
151	23
152	20
153	24
154	22
155	18
156	23
157	21
158	16
159	10
160	23
161	26
162	27
163	29
164	21
165	13
166	32
167	22
168	27
169	28
170	35
171	24
172	16
173	14
174	25
175	32
176	22
177	32
178	24
179	33
180	32
181	32
182	25
183	24
184	28
185	23
186	16
187	27
188	27
189	10
190	32
191	13
192	29
193	27
194	22
195	17
196	25
197	33
198	46
199	17
200	35
201	17
202	20
203	22
204	30
205	31
206	27
207	21
208	32
209	18
210	19
211	25
212	26
213	20
214	33
215	19
216	30
217	11
218	34
219	34
220	32
221	24
222	30
223	26
224	28
225	29
226	19
227	21
228	21
229	30
230	26
231	25
232	18
233	22
234	21
235	37
236	24
237	25
238	35
239	18
240	16
241	29
242	25
243	20
244	26
245	28
246	32
247	16
248	15
249	42
250	29
